feature,importance
nivel_motivación,0.042255793
nivel_confianza,0.020822756
tiene_rol_adicional,0.015991857
jornada_noche,0.01590577
participacion_clase,0.014984765
age,0.01497921
total_hours,0.013841308
teacher_experiencia_nivel_ficc,0.013608213
num_students_interacted,0.012203662
proyeccion_Negocios y Emprendimiento,0.011189896
avg_days_from_planned_start,0.010834702
proyeccion_Ciencias de la Salud,0.010293139
update_events_count,0.009871
dia_martes,0.009812307
jornada_tarde,0.009568443
avg_days_since_creation,0.009559888
total_course_time_hours,0.009531453
num_students_viewed,0.009513361
percent_students_viewed,0.009482113
max_days_since_creation,0.009444108
edad_estudiante,0.009236828
actividad_artes,0.00923149
avg_days_since_last_update,0.009175141
sequence_match_ratio,0.009164303
num_modules,0.009046199
total_views,0.008690986
total_modules,0.008666638
teacher_total_updates,0.008502908
teacher_experiencia_nivel,0.008456743
count_in_english,0.008452524
total_hermanos,0.008409242
count_interactive,0.0081399605
count_login_fri,0.008039895
intensidad,0.00801696
num_modules_viewed,0.007987323
student_total_interactions,0.007962399
percent_modules_viewed,0.007946186
median_days_since_creation,0.007921436
student_total_views,0.007818936
num_students,0.007798765
familia_padre,0.0077581853
actividad_idiomas,0.007490747
students_viewed_least_module,0.007482115
num_teacher_views_before_planned_start_date,0.007472409
familia_madre,0.007442687
count_login_wed,0.007370464
es_masculino,0.007259128
proyeccion_Deportes,0.007189641
jornada_mañana,0.0071816063
percent_students_interacted,0.007145172
median_days_since_last_update,0.0070898794
horas_semana_estudio_casa,0.006996752
avg_interactions_per_student,0.006959757
percent_modules_participated,0.006938337
es_alquiler,0.0069335126
real_sequence_length,0.0069081616
percent_updated,0.0069043394
max_time_per_module,0.00690124
percent_modules_out_of_date,0.0068051643
unique_students_count,0.006793589
proyeccion_STEM,0.006715261
missing_activities,0.0067075677
avg_views_per_module,0.006700492
count_jornada_noche,0.0066199964
time_engagement_level,0.006612389
total_subjects,0.006591496
percent_collaboration,0.0065896716
count_jornada_tarde,0.0065403907
percent_in_english,0.006511473
gaps_between_sessions_avg,0.006438526
dia_miercoles,0.0064162924
count_jornada_mañana,0.0063965353
modules_viewed,0.00637877
es_colombiano,0.0063255876
proyeccion_Indefinido o No Sabe,0.006309917
interes_estudios_superiores,0.0062627797
avg_views_per_student,0.00624056
std_days_from_planned_start,0.006198468
count_login_thu,0.006180575
min_days_since_creation,0.006141331
count_login_sat,0.0061297184
teacher_total_views,0.006119397
año_ingreso,0.0060594655
actividad_deportes,0.006018215
std_time_per_module,0.0060099144
max_inactividad,0.0059976284
median_days_from_planned_start,0.0059813233
max_views_in_a_module,0.005932058
total_interactions,0.0058799568
zona_vivienda_urbana,0.005866017
correct_order_count,0.00584697
skew_views,0.005844747
total_course_time_minutes,0.0057852454
percent_interactive,0.0057819383
percent_content,0.0057751215
estrato,0.0057661864
count_login_mon,0.0057600467
substring_similarity,0.0057344967
login_consistency,0.0056828116
avg_time_per_module,0.0056683132
count_login,0.005604712
engagement_decay,0.005558117
levenshtein_normalized,0.005485793
common_bigrams,0.005415134
modules_participated,0.0054093148
std_views_per_module,0.0053938697
period,0.0053290003
num_modules_updated,0.005323516
proyeccion_Arte y Entretenimiento,0.005313733
correct_order_ratio,0.005308508
proyeccion_Sociales y Humanidades,0.005306694
percent_modules_viewed_interacciones_de_estudiantes,0.005278718
count_login_sun,0.0052625937
medio_transporte_vehiculo_privado,0.0052338406
count_collaboration,0.005162824
apoyo_familiar,0.0051580705
median_time_per_module,0.0051285336
levenshtein_distance,0.0050639585
familia_otros,0.0049549635
kurtosis_views,0.0049390034
count_content,0.0049354276
count_evaluation,0.004914176
consecutive_days_max,0.0045977356
proyeccion_Diseño y Arquitectura,0.0045416495
percent_graded_activities,0.0044800895
count_login_tue,0.0044509755
dia_lunes,0.004078358
median_views_per_student,0.0039812373
percent_evaluation,0.0039736754
iqr_views,0.0038521304
dia_jueves,0.0036711446
dia_viernes,0.0033194234
dia_domingo,0.0032838364
median_interactions_per_student,0.0030301353
proyeccion_Seguridad y Fuerzas Armadas,0.0029067178
median_views_per_module,0.0024532056
total_accesses,0.0
dia_sabado,0.0
avg_days_after_end,0.0
std_days_after_end,0.0
median_days_after_end,0.0
activity_percentile,0.0
longest_inactivity_streak,0.0
log_total_views,0.0
jornada_madrugada,0.0
tiene_nee,0.0
tiene_enfermedades,0.0
es_antiguo,0.0
educación_profesional,0.0
log_total_interactions,0.0
