"variable","chi2_significant","correlation_significant","anova_significant"
"percent_students_viewed","False","True","False"
"teacher_experiencia_nivel","False","True","False"
"percent_interactive","False","True","False"
"count_login","False","True","False"
"actividades_extracurriculares","True","False","True"
"enfermedades","True","False","True"
"total_course_time_hours","False","True","False"
"correct_order_ratio","False","True","False"
"count_jornada_noche","False","True","False"
"std_days_after_end","False","True","False"
"kurtosis_views","False","True","False"
"update_events_count","False","True","False"
"consecutive_days_max","False","True","False"
"max_time_per_module","False","True","False"
"estrato","True","False","True"
"interés_estudios_superiores","True","False","True"
"nee","True","False","True"
"apoyo_familiar","True","False","True"
"género","True","False","True"
"avg_days_after_end","False","True","False"
"median_views_per_student","False","True","False"
"count_jornada_tarde","False","True","False"
"total_views","False","True","False"
"tipo_vivienda","True","False","False"
"percent_students_interacted","False","True","False"
"edad_estudiante","False","True","False"
"count_login_thu","False","True","False"
"count_in_english","False","True","False"
"median_views_per_module","False","True","False"
"median_days_from_planned_start","False","True","False"
"max_views_in_a_module","False","True","False"
"proyección_vocacional","True","False","True"
"num_teacher_views_before_planned_start_date","False","True","False"
"common_bigrams","True","False","True"
"unique_students_count","False","True","False"
"max_days_since_creation","False","True","False"
"percent_modules_viewed_interacciones_de_estudiantes","False","True","False"
"horas_semana_estudio_casa","False","True","False"
"age","False","True","False"
"percent_modules_out_of_date","False","True","False"
"num_modules_viewed","False","True","False"
"teacher_experiencia_nivel_ficc","False","True","False"
"avg_days_since_last_update","False","True","False"
"count_jornada_mañana","False","True","False"
"std_views_per_module","False","True","False"
"gaps_between_sessions_avg","False","True","False"
"demuestra_confianza","True","False","True"
"total_accesses","False","True","False"
"count_login_sat","False","True","False"
"avg_views_per_student","False","True","False"
"rol_adicional","True","False","True"
"time_engagement_level","True","False","True"
"zona_vivienda","True","False","True"
"familia","True","False","True"
"total_subjects","False","True","False"
"count_interactive","False","True","False"
"count_login_fri","False","True","False"
"percent_in_english","False","True","False"
"activity_percentile","False","True","False"
"participación_clase","True","False","True"
"missing_activities","False","True","False"
"count_collaboration","True","False","True"
"dia_preferido","True","False","True"
"correct_order_count","False","True","False"
"num_modules_updated","False","True","False"
"total_course_time_minutes","False","True","False"
"avg_views_per_module","False","True","False"
"median_days_since_creation","False","True","False"
"iqr_views","False","True","False"
"percent_collaboration","False","True","False"
"count_login_sun","False","True","False"
"total_hours","False","True","False"
"period","True","False","True"
"medio_transporte","True","False","True"
"count_login_wed","False","True","False"
"std_days_from_planned_start","False","True","False"
"min_days_since_creation","False","True","False"
"avg_time_per_module","False","True","False"
"país_origen","False","False","True"
"median_days_after_end","False","True","False"
"substring_similarity","False","True","False"
"log_total_views","False","True","False"
"percent_modules_participated","False","True","False"
"nivel_motivación","True","False","True"
"avg_days_from_planned_start","False","True","False"
"sequence_match_ratio","False","True","False"
"percent_updated","False","True","False"
"median_days_since_last_update","False","True","False"
"log_total_interactions","False","True","False"
"skew_views","False","True","False"
"teacher_total_views","False","True","False"
"student_total_interactions","False","True","False"
"real_sequence_length","False","True","False"
"intensidad","False","True","False"
"avg_days_since_creation","False","True","False"
"modules_participated","False","True","False"
"login_consistency","False","True","False"
"std_time_per_module","False","True","False"
"total_interactions","False","True","False"
"num_students_viewed","False","True","False"
"modules_viewed","False","True","False"
