,edad_estudiante,age,horas_semana_estudio_casa,intensidad,total_hermanos,teacher_experiencia_nivel_ficc,teacher_experiencia_nivel,total_hours,nota_final
edad_estudiante,1.0,0.044392012119014605,0.05437688454131295,0.016748089151787826,0.058246713347526735,0.05791045661342432,0.04020286806695295,0.05856944063129184,-0.1388774121562058
age,0.044392012119014605,1.0,-0.0009077338200816664,0.12255647509978553,0.010020132865072685,0.2182203669806299,0.3650947138169616,-0.23161668013030792,0.04626247998503229
horas_semana_estudio_casa,0.05437688454131295,-0.0009077338200816664,1.0,0.001592523052357575,0.06453589468972112,-0.005943247385083479,-0.00047236868627344164,0.008051822075502429,0.06684531533356036
intensidad,0.016748089151787826,0.12255647509978553,0.001592523052357575,1.0,-0.0026404128375934442,0.027450263651967382,0.01703806592367863,0.27290290860468747,-0.20045556842757312
total_hermanos,0.058246713347526735,0.010020132865072685,0.06453589468972112,-0.0026404128375934442,1.0,0.014609500379019837,0.005937468067413478,-0.016059301904119205,-0.020784267637007317
teacher_experiencia_nivel_ficc,0.05791045661342432,0.2182203669806299,-0.005943247385083479,0.027450263651967382,0.014609500379019837,1.0,0.9620525834066431,-0.19580365108563647,0.016302061941706643
teacher_experiencia_nivel,0.04020286806695295,0.3650947138169616,-0.00047236868627344164,0.01703806592367863,0.005937468067413478,0.9620525834066431,1.0,-0.23208497746849388,0.045063597311054096
total_hours,0.05856944063129184,-0.23161668013030792,0.008051822075502429,0.27290290860468747,-0.016059301904119205,-0.19580365108563647,-0.23208497746849388,1.0,-0.06487595845859004
nota_final,-0.1388774121562058,0.04626247998503229,0.06684531533356036,-0.20045556842757312,-0.020784267637007317,0.016302061941706643,0.045063597311054096,-0.06487595845859004,1.0
